timestamp,network_state,health_state,command,latency_ms,consecutive_windows,fusion_state,deterioration_prob
1778419057.847284,Critical,NORMAL,SEMANTIC_SUMMARY,504.999,2,UNKNOWN,
1778419058.354684,Stable,NORMAL,FULL_ECG,257.16,1,UNKNOWN,
1778419059.101674,Critical,NORMAL,SEMANTIC_SUMMARY,252.317,1,UNKNOWN,
1778419059.854725,Stable,NORMAL,FULL_ECG,505.06,2,UNKNOWN,
1778419060.598804,Unstable,NORMAL,DOWNSAMPLED_ECG,507.317,2,UNKNOWN,
1778419061.103629,Stable,NORMAL,FULL_ECG,253.475,1,UNKNOWN,
1778419061.856616,Critical,CRITICAL,SEMANTIC_SUMMARY,514.728,1,UNKNOWN,
1778419062.602425,Stable,CRITICAL,SEMANTIC_CRITICAL,509.758,2,UNKNOWN,
1778419063.345516,Critical,ALERT,SEMANTIC_ALERT,752.99,1,UNKNOWN,
1778419063.858875,Stable,ALERT,FULL_ECG_PRIORITY,257.608,1,UNKNOWN,
1778419064.600803,Critical,NORMAL,SEMANTIC_SUMMARY,258.439,1,UNKNOWN,
1778419065.102654,Stable,NORMAL,FULL_ECG,258.463,1,UNKNOWN,
1778419065.851338,Critical,NORMAL,SEMANTIC_SUMMARY,759.168,3,UNKNOWN,
1778419066.36359,Stable,NORMAL,FULL_ECG,265.05,1,UNKNOWN,
1778419067.110652,Critical,NORMAL,SEMANTIC_SUMMARY,768.064,3,UNKNOWN,
1778419067.847497,Stable,NORMAL,FULL_ECG,502.573,2,UNKNOWN,
1778419068.384172,Unstable,NORMAL,DOWNSAMPLED_ECG,284.898,1,UNKNOWN,
1778419069.097267,Stable,NORMAL,FULL_ECG,502.184,2,UNKNOWN,
1778419069.602687,Critical,NORMAL,SEMANTIC_SUMMARY,506.109,2,UNKNOWN,
1778419070.103076,Stable,NORMAL,FULL_ECG,258.392,1,UNKNOWN,
1778419070.604027,Critical,CRITICAL,SEMANTIC_CRITICAL,508.915,2,UNKNOWN,
1778419073.599252,Critical,CRITICAL,SEMANTIC_SUMMARY,257.547,14,UNKNOWN,
1778419074.106784,Stable,CRITICAL,SEMANTIC_CRITICAL,505.175,1,UNKNOWN,
1778419075.345197,Critical,CRITICAL,SEMANTIC_SUMMARY,253.113,5,UNKNOWN,
1778419075.853281,Stable,CRITICAL,SEMANTIC_CRITICAL,502.322,1,UNKNOWN,
1778419076.603677,Critical,ALERT,SEMANTIC_ALERT,508.037,3,UNKNOWN,
1778419077.351522,Stable,ALERT,FULL_ECG_PRIORITY,502.869,2,UNKNOWN,
1778419078.098743,Critical,CRITICAL,SEMANTIC_SUMMARY,755.845,3,UNKNOWN,
1778419078.854202,Critical,CRITICAL,SEMANTIC_CRITICAL,752.709,1,UNKNOWN,
1778419080.351238,Critical,CRITICAL,SEMANTIC_SUMMARY,256.595,7,UNKNOWN,
1778419081.100296,Stable,ALERT,FULL_ECG_PRIORITY,252.393,1,UNKNOWN,
1778419081.623925,Critical,CRITICAL,SEMANTIC_SUMMARY,280.564,2,UNKNOWN,
1778419082.348901,Stable,CRITICAL,SEMANTIC_CRITICAL,754.409,2,UNKNOWN,
1778419083.350813,Critical,CRITICAL,SEMANTIC_SUMMARY,257.159,4,UNKNOWN,
1778419083.870659,Stable,CRITICAL,SEMANTIC_CRITICAL,269.876,1,UNKNOWN,
1778419084.846428,Critical,CRITICAL,SEMANTIC_SUMMARY,253.465,4,UNKNOWN,
1778419085.350935,Stable,CRITICAL,SEMANTIC_CRITICAL,507.531,1,UNKNOWN,
1778419086.350984,Critical,CRITICAL,SEMANTIC_SUMMARY,256.631,4,UNKNOWN,
1778419086.855209,Critical,CRITICAL,SEMANTIC_CRITICAL,504.693,6,UNKNOWN,
1778419087.59753,Critical,CRITICAL,SEMANTIC_SUMMARY,253.335,9,UNKNOWN,
