[WARD] PatientFusionEncoder available=False
[WARD] Listening on 0.0.0.0:5006
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=755.3ms, windows=2, debounce=3)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=252.8ms, windows=13, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=755.0ms, windows=2, debounce=3)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=277.0ms, windows=4, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=752.8ms, windows=2, debounce=3)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=256.1ms, windows=3, debounce=1)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=505.2ms, windows=2, debounce=2)
[WARD CMD] Unstable/ALERT -> SEMANTIC_ALERT (latency=756.9ms, windows=3, debounce=3)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=255.4ms, windows=1, debounce=1)
[WARD CMD] Unstable/ALERT -> SEMANTIC_ALERT (latency=257.6ms, windows=3, debounce=1)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_CRITICAL (latency=752.5ms, windows=1, debounce=3)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=255.8ms, windows=6, debounce=1)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_CRITICAL (latency=504.8ms, windows=8, debounce=2)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=252.4ms, windows=1, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=503.9ms, windows=1, debounce=2)
[WARD ACK][WARN] command_id=118 not ACKed by devices [2, 3, 6, 7] after 3 retries
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=252.1ms, windows=3, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=506.8ms, windows=1, debounce=2)
[WARD CMD] Critical/CRITICAL -> SEMANTIC_SUMMARY (latency=253.7ms, windows=1, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=752.8ms, windows=2, debounce=3)
[WARD CMD] Critical/ALERT -> SEMANTIC_ALERT (latency=254.8ms, windows=1, debounce=1)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=256.6ms, windows=1, debounce=1)
[WARD CMD] Critical/ALERT -> SEMANTIC_ALERT (latency=253.0ms, windows=1, debounce=1)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=255.1ms, windows=1, debounce=1)
[WARD CMD] Critical/ALERT -> SEMANTIC_ALERT (latency=252.1ms, windows=3, debounce=1)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=253.9ms, windows=1, debounce=1)
[WARD CMD] Unstable/ALERT -> SEMANTIC_SUMMARY (latency=755.3ms, windows=3, debounce=3)
[WARD CMD] Unstable/NORMAL -> DOWNSAMPLED_ECG (latency=506.6ms, windows=5, debounce=2)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=754.5ms, windows=3, debounce=3)
[WARD CMD] Unstable/NORMAL -> SEMANTIC_SUMMARY (latency=507.0ms, windows=1, debounce=2)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=502.4ms, windows=2, debounce=2)
[WARD CMD] Critical/CRITICAL -> SEMANTIC_CRITICAL (latency=257.6ms, windows=2, debounce=1)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=257.2ms, windows=3, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=755.3ms, windows=2, debounce=3)
[WARD CMD] Unstable/ALERT -> SEMANTIC_SUMMARY (latency=252.1ms, windows=2, debounce=1)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=252.4ms, windows=1, debounce=1)
[WARD CMD] Unstable/NORMAL -> SEMANTIC_SUMMARY (latency=502.6ms, windows=2, debounce=2)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=255.3ms, windows=1, debounce=1)
[WARD CMD] Critical/NORMAL -> SEMANTIC_SUMMARY (latency=502.8ms, windows=2, debounce=2)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=255.6ms, windows=1, debounce=1)
[WARD CMD] Critical/NORMAL -> SEMANTIC_SUMMARY (latency=253.8ms, windows=1, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=257.4ms, windows=1, debounce=1)
[WARD CMD] Unstable/NORMAL -> DOWNSAMPLED_ECG (latency=503.8ms, windows=2, debounce=2)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=504.2ms, windows=2, debounce=2)
[WARD CMD] Unstable/NORMAL -> SEMANTIC_SUMMARY (latency=255.1ms, windows=2, debounce=1)
[WARD CMD] Unstable/NORMAL -> DOWNSAMPLED_ECG (latency=503.2ms, windows=4, debounce=2)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=757.7ms, windows=3, debounce=3)
[WARD CMD] Unstable/NORMAL -> DOWNSAMPLED_ECG (latency=752.6ms, windows=3, debounce=3)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=257.3ms, windows=1, debounce=1)
[WARD CMD] Unstable/NORMAL -> SEMANTIC_SUMMARY (latency=754.0ms, windows=1, debounce=3)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=252.5ms, windows=1, debounce=1)
[WARD CMD] Unstable/NORMAL -> DOWNSAMPLED_ECG (latency=260.6ms, windows=1, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=503.0ms, windows=2, debounce=2)
[WARD CMD] Critical/NORMAL -> SEMANTIC_SUMMARY (latency=256.3ms, windows=1, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=255.4ms, windows=1, debounce=1)
[WARD CMD] Unstable/NORMAL -> SEMANTIC_SUMMARY (latency=752.4ms, windows=1, debounce=3)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=506.1ms, windows=2, debounce=2)
[WARD CMD] Unstable/NORMAL -> SEMANTIC_SUMMARY (latency=252.6ms, windows=3, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=252.5ms, windows=1, debounce=1)
[WARD CMD] Critical/NORMAL -> SEMANTIC_SUMMARY (latency=507.8ms, windows=2, debounce=2)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=252.5ms, windows=1, debounce=1)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_CRITICAL (latency=257.5ms, windows=2, debounce=1)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=252.3ms, windows=1, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=502.6ms, windows=1, debounce=2)
[WARD CMD] Critical/CRITICAL -> SEMANTIC_SUMMARY (latency=253.1ms, windows=1, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=546.8ms, windows=1, debounce=2)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=252.8ms, windows=1, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=502.4ms, windows=1, debounce=2)
[WARD CMD] Critical/CRITICAL -> SEMANTIC_SUMMARY (latency=282.6ms, windows=2, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=753.9ms, windows=2, debounce=3)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=254.8ms, windows=1, debounce=1)
[WARD CMD] Unstable/NORMAL -> DOWNSAMPLED_ECG (latency=252.6ms, windows=1, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=753.4ms, windows=3, debounce=3)
