
[Receiver] Closed-loop gateway listening on :9000
[Receiver] Ward controller target: 10.0.0.1:5006

[WARN] joblib unavailable; using heuristic predictor.
[PREDICT] source=heuristic state=Critical loss=42.68% delay=56.51ms jitter=14.74ms devices=2
[PREDICT] source=heuristic state=Critical loss=38.16% delay=52.32ms jitter=12.54ms devices=2
[PREDICT] source=heuristic state=Critical loss=43.37% delay=54.47ms jitter=14.01ms devices=3
[PREDICT] source=heuristic state=Critical loss=42.53% delay=52.74ms jitter=15.41ms devices=3
[PREDICT] source=heuristic state=Critical loss=32.86% delay=52.16ms jitter=11.65ms devices=2
[PREDICT] source=heuristic state=Critical loss=29.23% delay=55.95ms jitter=9.43ms devices=2
[PREDICT] source=heuristic state=Critical loss=36.00% delay=55.21ms jitter=15.22ms devices=3
[PREDICT] source=heuristic state=Critical loss=40.96% delay=55.86ms jitter=12.46ms devices=3
[PREDICT] source=heuristic state=Critical loss=39.74% delay=56.75ms jitter=12.85ms devices=2
[PREDICT] source=heuristic state=Critical loss=37.50% delay=53.85ms jitter=13.45ms devices=2
[PREDICT] source=heuristic state=Critical loss=43.24% delay=58.91ms jitter=15.73ms devices=1
[PREDICT] source=heuristic state=Critical loss=42.86% delay=57.16ms jitter=15.95ms devices=3
[PREDICT] source=heuristic state=Critical loss=37.14% delay=56.94ms jitter=10.30ms devices=1
[PREDICT] source=heuristic state=Critical loss=40.00% delay=56.29ms jitter=13.79ms devices=1
[PREDICT] source=heuristic state=Critical loss=30.00% delay=59.00ms jitter=8.74ms devices=1
[PREDICT] source=heuristic state=Critical loss=40.43% delay=58.60ms jitter=14.18ms devices=3
[PREDICT] source=heuristic state=Critical loss=47.62% delay=55.63ms jitter=17.43ms devices=1
[PREDICT] source=heuristic state=Critical loss=40.00% delay=55.74ms jitter=14.16ms devices=1
[PREDICT] source=heuristic state=Critical loss=38.33% delay=54.96ms jitter=12.37ms devices=2
[PREDICT] source=heuristic state=Critical loss=36.59% delay=55.96ms jitter=15.01ms devices=4
[PREDICT] source=heuristic state=Critical loss=42.68% delay=55.19ms jitter=14.48ms devices=2
[PREDICT] source=heuristic state=Critical loss=41.38% delay=54.87ms jitter=17.94ms devices=3
[PREDICT] source=heuristic state=Critical loss=37.04% delay=54.80ms jitter=12.30ms devices=3
