timestamp,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,avg_delay,active_devices,packets_per_window,network_condition,predictor_source,prediction_confidence,estimated_lost_bytes,reordered_recovered_packets,receiver_overloaded,drain_max_ms,drain_avg_ms,drain_budget_hits,drain_backlog_hits
1778413399.438,32768.0,22528.0,0.317829,85.826188,268.359163,6,129,Critical,heuristic,,2624,64,0,0.191,0.075,0,0
1778413399.691,22272.0,17408.0,0.32,72.284762,252.310809,5,100,Critical,heuristic,,2048,45,1,0.142,0.078,0,1
1778413399.939,20224.0,16640.0,0.252874,73.178603,264.351438,4,87,Critical,heuristic,,1408,46,0,0.168,0.087,0,0
1778413400.189,25344.0,21504.0,0.151515,78.543413,260.146431,5,99,Critical,heuristic,,960,62,0,0.18,0.082,0,0
1778413400.441,27648.0,17920.0,0.351852,84.838993,254.400625,5,108,Critical,heuristic,,2432,45,0,0.169,0.076,0,0
1778413400.692,23296.0,21248.0,0.135417,67.664491,261.098623,5,96,Critical,heuristic,,832,63,0,0.187,0.076,0,0
1778413400.939,28416.0,20992.0,0.267857,81.481215,254.537187,4,112,Critical,heuristic,,1920,58,0,0.155,0.08,0,0
1778413401.19,22272.0,21248.0,0.209524,72.557524,269.124807,4,105,Critical,heuristic,,1408,61,0,0.243,0.088,0,0
1778413401.439,27904.0,19456.0,0.309091,87.049415,255.534247,6,110,Critical,heuristic,,2176,55,0,0.164,0.078,0,0
1778413401.689,20224.0,20736.0,0.164948,88.469814,265.480495,5,97,Critical,heuristic,,1024,67,0,0.448,0.076,0,0
1778413401.941,27136.0,19968.0,0.264151,85.11377,259.859324,4,106,Critical,heuristic,,1792,60,1,0.168,0.072,0,1
1778413402.188,22272.0,18688.0,0.247423,70.164452,261.666941,4,97,Critical,heuristic,,1536,54,0,0.169,0.088,0,0
1778413402.44,26368.0,22272.0,0.171429,80.126201,266.911485,5,105,Critical,heuristic,,1152,61,0,0.22,0.08,0,0
1778413402.692,25344.0,22016.0,0.188679,74.205662,264.923683,5,106,Critical,heuristic,,1280,59,0,0.238,0.085,0,0
1778413402.938,25600.0,19968.0,0.284404,68.140259,260.972631,4,109,Critical,heuristic,,1984,56,0,0.213,0.08,0,0
1778413403.192,17920.0,20736.0,0.0,72.13566,260.000155,4,81,Critical,heuristic,,0,64,1,0.232,0.08,0,1
1778413403.439,30464.0,22272.0,0.268908,78.488591,253.03751,6,119,Critical,heuristic,,2048,55,0,0.174,0.078,0,0
1778413403.689,25600.0,20224.0,0.268519,77.042954,254.834682,5,108,Critical,heuristic,,1856,53,0,0.189,0.08,0,0
1778413403.938,26880.0,22528.0,0.2,88.320564,252.131235,4,110,Critical,heuristic,,1408,71,1,0.223,0.102,0,1
1778413404.188,20480.0,19968.0,0.113636,67.215449,255.827888,4,88,Critical,heuristic,,640,56,1,0.164,0.082,0,1
