
[Receiver] Closed-loop gateway listening on :9000
[Receiver] Ward controller target: 10.0.0.1:5006

[Receiver] Semantic drain log : /mnt/c/Users/archi/OneDrive/Desktop/Sem 6/PE/AI-Native-Semantic-Network-Control-for-Remote-Healthcare-Traffic/outputs/evaluation/baseline_natural_20260510_113738/semantic_drain.csv
[MODEL] Model loading disabled by environment variable; using heuristic predictor.
[Receiver] Loaded semantic decoder for ECG
[Receiver] Loaded semantic decoder for BloodPressure
[Receiver] SpO2: no semantic model — raw-only path
[Receiver] SpO2: no semantic model — raw-only path
[Receiver] Temperature: no semantic model — raw-only path
[Receiver] Respiration: no semantic model — raw-only path
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.12ms jitter=1.86ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.80ms jitter=2.23ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.87ms jitter=1.99ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.48ms jitter=2.08ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.36ms jitter=2.16ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.64ms jitter=2.24ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.72ms jitter=2.42ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.71ms jitter=2.11ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.53ms jitter=2.68ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.93ms jitter=2.43ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.06ms jitter=2.12ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.79ms jitter=2.02ms devices=7
[PREDICT] source=heuristic state=Stable loss=1.05% delay=11.95ms jitter=2.09ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.76ms jitter=2.18ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.44ms jitter=1.90ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.82ms jitter=2.02ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.88ms jitter=1.95ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.65ms jitter=1.95ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.67ms jitter=2.38ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.90ms jitter=2.54ms devices=7
[PREDICT] source=heuristic state=Stable loss=1.04% delay=11.92ms jitter=2.24ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.04% delay=11.67ms jitter=2.59ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.88ms jitter=2.33ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.06ms jitter=2.51ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.74ms jitter=2.11ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.64ms jitter=2.44ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.67ms jitter=2.09ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.79ms jitter=2.10ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.20ms jitter=2.17ms devices=4
[PREDICT] source=heuristic state=Stable loss=2.08% delay=11.58ms jitter=2.52ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.35ms jitter=2.36ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.81ms jitter=2.00ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.69ms jitter=2.03ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.04% delay=11.75ms jitter=2.20ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.03% delay=11.69ms jitter=2.54ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.84ms jitter=2.11ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.60ms jitter=1.97ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.82ms jitter=2.56ms devices=4
[PREDICT] source=heuristic state=Stable loss=2.13% delay=12.00ms jitter=2.33ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.04ms jitter=2.17ms devices=7
[PREDICT] source=heuristic state=Stable loss=1.05% delay=11.91ms jitter=2.06ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.46ms jitter=1.94ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.04% delay=11.88ms jitter=1.97ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.57ms jitter=2.07ms devices=7
[PREDICT] source=heuristic state=Stable loss=1.04% delay=11.98ms jitter=2.30ms devices=4
[Receiver] Elapsed: 0m 45s | Rows:   180 | Status: Running
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.77ms jitter=1.76ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.55ms jitter=2.27ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.01% delay=11.86ms jitter=2.39ms devices=7
