timestamp,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,avg_delay,active_devices,packets_per_window,network_condition
1774957076.582,39168.0,23552.0,0.398693,12.883788,55.017106,4,153,Critical
1774957076.833,40192.0,23808.0,0.407643,14.427693,53.078862,4,157,Critical
1774957077.079,43520.0,24576.0,0.435294,16.096582,54.431245,5,170,Critical
1774957077.329,33536.0,21760.0,0.351145,12.151202,52.97469,6,131,Critical
1774957077.578,35328.0,22528.0,0.362319,12.706369,53.674733,4,138,Critical
1774957077.828,37888.0,23552.0,0.378378,13.621545,54.127211,4,148,Critical
1774957078.083,34560.0,23296.0,0.325926,11.396398,55.711634,6,135,Critical
1774957078.329,40704.0,24064.0,0.408805,14.564981,55.575006,5,159,Critical
1774957078.578,36608.0,24064.0,0.342657,12.49778,52.669941,4,143,Critical
1774957078.828,34304.0,22528.0,0.343284,12.376734,53.872341,4,134,Critical
1774957079.079,44800.0,27136.0,0.394286,14.510431,46.892834,6,175,Critical
1774957079.332,24576.0,24576.0,0.0,4.311842,21.708379,5,96,Stable
1774957079.583,24576.0,24320.0,0.010417,3.423061,21.921923,4,96,Stable
1774957079.829,24320.0,24064.0,0.010526,3.520174,22.224515,4,95,Stable
1774957080.082,26112.0,25344.0,0.029412,3.612215,21.54181,6,102,Stable
1774957080.331,24576.0,23808.0,0.03125,4.125241,21.790279,5,96,Unstable
1774957080.578,25088.0,24320.0,0.030612,3.475603,21.772731,4,98,Unstable
1774957080.829,24320.0,24064.0,0.010526,3.06135,22.180611,4,95,Stable
