
[Receiver] Closed-loop gateway listening on :9000
[Receiver] Ward controller target: 10.0.0.1:5006

[WARN] joblib unavailable; using heuristic predictor.
[PREDICT] source=heuristic state=Critical loss=74.92% delay=227.91ms jitter=60.73ms devices=6
[PREDICT] source=heuristic state=Critical loss=75.71% delay=219.95ms jitter=66.44ms devices=5
[PREDICT] source=heuristic state=Critical loss=78.29% delay=233.68ms jitter=73.41ms devices=4
[PREDICT] source=heuristic state=Critical loss=80.89% delay=216.83ms jitter=86.75ms devices=5
[PREDICT] source=heuristic state=Critical loss=79.08% delay=231.21ms jitter=77.79ms devices=5
[PREDICT] source=heuristic state=Critical loss=79.22% delay=233.31ms jitter=78.95ms devices=5
[PREDICT] source=heuristic state=Critical loss=77.31% delay=230.57ms jitter=66.86ms devices=4
[PREDICT] source=heuristic state=Critical loss=77.74% delay=223.81ms jitter=68.49ms devices=4
[PREDICT] source=heuristic state=Critical loss=77.38% delay=233.59ms jitter=73.96ms devices=6
[PREDICT] source=heuristic state=Critical loss=78.17% delay=228.88ms jitter=75.80ms devices=5
[PREDICT] source=heuristic state=Critical loss=75.39% delay=215.47ms jitter=56.75ms devices=4
[PREDICT] source=heuristic state=Critical loss=75.27% delay=222.49ms jitter=64.82ms devices=4
[PREDICT] source=heuristic state=Critical loss=77.23% delay=230.56ms jitter=66.74ms devices=6
[PREDICT] source=heuristic state=Critical loss=74.01% delay=231.34ms jitter=61.41ms devices=5
[PREDICT] source=heuristic state=Critical loss=77.57% delay=243.29ms jitter=73.65ms devices=4
[PREDICT] source=heuristic state=Critical loss=78.49% delay=221.38ms jitter=68.71ms devices=4
[PREDICT] source=heuristic state=Critical loss=79.07% delay=217.01ms jitter=75.52ms devices=5
[PREDICT] source=heuristic state=Critical loss=73.70% delay=217.99ms jitter=64.08ms devices=5
[PREDICT] source=heuristic state=Critical loss=74.70% delay=228.79ms jitter=62.93ms devices=4
[PREDICT] source=heuristic state=Critical loss=77.54% delay=227.40ms jitter=68.33ms devices=4
[PREDICT] source=heuristic state=Critical loss=72.83% delay=232.17ms jitter=63.91ms devices=5
[PREDICT] source=heuristic state=Critical loss=75.88% delay=232.66ms jitter=66.39ms devices=5
[PREDICT] source=heuristic state=Critical loss=76.82% delay=229.18ms jitter=64.48ms devices=4
[PREDICT] source=heuristic state=Critical loss=78.55% delay=230.54ms jitter=73.17ms devices=4
[PREDICT] source=heuristic state=Critical loss=76.19% delay=225.06ms jitter=71.77ms devices=6
[PREDICT] source=heuristic state=Critical loss=78.55% delay=222.09ms jitter=74.31ms devices=5
[PREDICT] source=heuristic state=Critical loss=76.83% delay=235.89ms jitter=72.64ms devices=4
[Receiver] Elapsed: 1m 0s | Rows:   240 | Status: Running
[PREDICT] source=heuristic state=Critical loss=76.59% delay=224.66ms jitter=65.34ms devices=4
[PREDICT] source=heuristic state=Critical loss=74.86% delay=228.42ms jitter=65.49ms devices=6
[PREDICT] source=heuristic state=Critical loss=78.17% delay=217.86ms jitter=72.48ms devices=5
[PREDICT] source=heuristic state=Critical loss=76.74% delay=223.31ms jitter=64.71ms devices=4
[PREDICT] source=heuristic state=Critical loss=76.36% delay=229.51ms jitter=62.29ms devices=4
[PREDICT] source=heuristic state=Critical loss=73.94% delay=234.30ms jitter=63.62ms devices=6
[PREDICT] source=heuristic state=Critical loss=77.63% delay=226.42ms jitter=71.54ms devices=4
[PREDICT] source=heuristic state=Critical loss=77.84% delay=223.38ms jitter=67.39ms devices=4
[PREDICT] source=heuristic state=Critical loss=77.75% delay=217.47ms jitter=77.26ms devices=5
[PREDICT] source=heuristic state=Critical loss=78.02% delay=214.94ms jitter=76.26ms devices=6
[PREDICT] source=heuristic state=Critical loss=78.12% delay=217.16ms jitter=75.06ms devices=5
[PREDICT] source=heuristic state=Critical loss=77.69% delay=219.49ms jitter=66.00ms devices=4
[PREDICT] source=heuristic state=Critical loss=77.75% delay=216.84ms jitter=69.49ms devices=4
[PREDICT] source=heuristic state=Critical loss=75.22% delay=225.19ms jitter=62.22ms devices=6
[PREDICT] source=heuristic state=Critical loss=77.07% delay=223.56ms jitter=73.25ms devices=5
[PREDICT] source=heuristic state=Critical loss=77.58% delay=224.23ms jitter=70.66ms devices=4
[PREDICT] source=heuristic state=Critical loss=83.20% delay=176.46ms jitter=101.06ms devices=6
[PREDICT] source=heuristic state=Critical loss=80.59% delay=103.18ms jitter=89.40ms devices=5
[PREDICT] source=heuristic state=Critical loss=41.67% delay=57.00ms jitter=13.56ms devices=4
[PREDICT] source=heuristic state=Critical loss=40.88% delay=55.64ms jitter=14.31ms devices=4
[PREDICT] source=heuristic state=Critical loss=43.53% delay=53.39ms jitter=15.73ms devices=6
[PREDICT] source=heuristic state=Critical loss=29.55% delay=53.45ms jitter=10.87ms devices=5
[PREDICT] source=heuristic state=Critical loss=35.00% delay=54.61ms jitter=10.83ms devices=4
[PREDICT] source=heuristic state=Critical loss=40.13% delay=53.81ms jitter=12.45ms devices=4
[PREDICT] source=heuristic state=Critical loss=37.91% delay=52.33ms jitter=14.06ms devices=6
[PREDICT] source=heuristic state=Critical loss=42.68% delay=55.14ms jitter=14.89ms devices=5
[PREDICT] source=heuristic state=Critical loss=35.46% delay=54.44ms jitter=12.17ms devices=4
[PREDICT] source=heuristic state=Critical loss=40.37% delay=55.63ms jitter=13.44ms devices=4
[PREDICT] source=heuristic state=Critical loss=38.89% delay=53.33ms jitter=12.75ms devices=6
[PREDICT] source=heuristic state=Critical loss=37.16% delay=54.18ms jitter=12.55ms devices=5
[PREDICT] source=heuristic state=Critical loss=33.33% delay=55.80ms jitter=11.63ms devices=4
[PREDICT] source=heuristic state=Critical loss=34.04% delay=57.64ms jitter=12.00ms devices=4
[PREDICT] source=heuristic state=Critical loss=35.21% delay=54.78ms jitter=11.50ms devices=5
[PREDICT] source=heuristic state=Critical loss=40.27% delay=53.29ms jitter=14.06ms devices=5
[PREDICT] source=heuristic state=Critical loss=31.69% delay=54.21ms jitter=12.78ms devices=4
[PREDICT] source=heuristic state=Critical loss=34.33% delay=56.49ms jitter=12.02ms devices=4
[PREDICT] source=heuristic state=Critical loss=42.11% delay=54.27ms jitter=14.37ms devices=6
[PREDICT] source=heuristic state=Critical loss=37.67% delay=54.81ms jitter=12.71ms devices=5
[PREDICT] source=heuristic state=Critical loss=36.91% delay=55.63ms jitter=13.89ms devices=4
[PREDICT] source=heuristic state=Critical loss=36.17% delay=52.81ms jitter=12.52ms devices=4
[PREDICT] source=heuristic state=Critical loss=36.49% delay=54.83ms jitter=13.10ms devices=6
[PREDICT] source=heuristic state=Critical loss=40.38% delay=51.85ms jitter=14.57ms devices=5
[PREDICT] source=heuristic state=Critical loss=38.26% delay=53.37ms jitter=12.81ms devices=4
[PREDICT] source=heuristic state=Critical loss=36.05% delay=53.20ms jitter=12.08ms devices=4
[PREDICT] source=heuristic state=Critical loss=34.97% delay=52.70ms jitter=11.21ms devices=6
[PREDICT] source=heuristic state=Critical loss=38.41% delay=55.09ms jitter=12.65ms devices=5
[PREDICT] source=heuristic state=Critical loss=37.24% delay=56.26ms jitter=12.85ms devices=4
[PREDICT] source=heuristic state=Critical loss=41.42% delay=55.12ms jitter=14.60ms devices=4
